"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3603,4879.93133248642,219.5969099618889
7201,498.9530717781523,22.452888230016857
10800,12537.591884879579,564.191634819581
14400,10387.981528924309,467.45916880159393
18002,13531.334963901598,608.910073375572
21601,11472.296317231307,516.2533342754089
25200,11151.026984985212,501.7962143243345
28800,10397.445596365947,467.88505183646765
32402,11406.868872826417,513.3090992771888
36000,5177.057956592845,232.967608046678
39601,13162.566466526632,592.3154909936985
43200,9697.997987489838,436.40990943704276
46800,13693.182287684216,616.1932029457897
50401,9551.473930230331,429.8163268603649
54002,9394.489511334561,422.7520280100553
57600,8864.265268716566,398.89193709224554
61201,10973.404979659883,493.8032240846947
64800,10877.65994715562,489.4946976220029
68402,10371.517432582792,466.7182844662256
72001,11015.435343089097,495.69459043900935
75600,11371.83003372371,511.73235151756694
79201,11211.88247935589,504.534711571015
82802,10040.297180797266,451.81337313587693
