"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3600,22.0,473.0,21.5,2.0,145.0,72.5
7201,23.0,470.0,20.434782608695652,1.0,49.0,49.0
10801,35.0,746.0,21.314285714285713,3.0,238.0,79.33333333333333
14401,30.0,627.0,20.9,2.0,140.0,70.0
18000,28.0,582.0,20.785714285714285,4.0,229.0,57.25
21601,30.0,578.0,19.266666666666666,4.0,247.0,61.75
25202,37.0,786.0,21.243243243243242,2.0,149.0,74.5
28800,26.0,552.0,21.23076923076923,5.0,368.0,73.6
32400,25.0,487.0,19.48,2.0,112.0,56.0
36000,27.0,551.0,20.40740740740741,1.0,67.0,67.0
39602,22.0,479.0,21.772727272727273,3.0,185.0,61.666666666666664
43201,18.0,370.0,20.555555555555557,2.0,136.0,68.0
46800,27.0,572.0,21.185185185185187,1.0,64.0,64.0
50401,27.0,529.0,19.59259259259259,2.0,123.0,61.5
54000,19.0,409.0,21.526315789473685,4.0,290.0,72.5
57602,31.0,612.0,19.741935483870968,3.0,198.0,66.0
61201,31.0,624.0,20.129032258064516,7.0,460.0,65.71428571428571
64800,30.0,610.0,20.333333333333332,6.0,385.0,64.16666666666667
68402,30.0,648.0,21.6,5.0,376.0,75.2
72003,31.0,647.0,20.870967741935484,9.0,624.0,69.33333333333333
75600,27.0,587.0,21.74074074074074,2.0,142.0,71.0
79200,35.0,711.0,20.314285714285713,5.0,283.0,56.6
82802,43.0,916.0,21.302325581395348,8.0,535.0,66.875
