"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3601,151.0,502.5
7200,158.04347826086956,0.0
10800,143.28571428571428,355.0
14402,195.1,347.0
18002,250.10714285714286,269.75
21601,203.03333333333333,276.75
25202,213.51351351351352,473.5
28800,265.1923076923077,565.0
32402,169.2,927.5
36000,154.74074074074073,277.0
39602,158.9090909090909,355.6666666666667
43201,154.16666666666666,375.0
46802,165.66666666666666,306.0
50401,134.4814814814815,305.5
54000,154.26315789473685,450.0
57602,213.51612903225808,297.6666666666667
61201,158.03225806451613,384.85714285714283
64800,312.8666666666667,441.3333333333333
68402,258.53333333333336,576.8
72001,238.41935483870967,313.55555555555554
75600,214.07407407407408,767.5
79200,138.77142857142857,140.0
82801,171.4418604651163,253.0
