"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3603,2206.5,53.0
7201,1753.0,51.0
10800,4242.333333333333,113.66666666666667
14400,1595.75,47.25
18002,7387.125,221.0
21601,8968.0,266.0
25200,6143.5,174.25
28800,3954.2,107.3
32400,1624.5,39.75
36000,37.0,0.0
39602,816.3333333333334,14.666666666666666
43201,1224.5,22.0
46800,1149.0,31.0
50401,1941.0,51.0
54000,962.25,23.125
57602,1402.6666666666667,33.166666666666664
61201,346.07142857142856,9.285714285714286
64800,354.8333333333333,9.583333333333334
68401,267.3,7.4
72000,1044.2222222222222,29.72222222222222
75600,3455.0,100.5
79201,289.0,7.4
82802,0.0,0.0
