"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
16,Œródmieœcie,Safe,477364ca-5e61-47a6-bac1-a384b1e1d98d, ,PATROLLING,0
18,Œródmieœcie,Safe,cad744ad-69e3-4bd2-89b0-76eeb3aa8382, ,PATROLLING,0
18,Œródmieœcie,Safe,94e959ab-c6dc-4e0a-b0e6-34806946a469, ,PATROLLING,0
20,Œródmieœcie,Safe,c6af6149-8950-43cd-8d77-8d96128ddf06, ,PATROLLING,0
23,Œródmieœcie,Safe,20ea95b9-bc76-41c1-aa81-daf878dcef7a, ,PATROLLING,0
24,Œródmieœcie,Safe,3a5768eb-38f7-46df-adc7-fea15dc78df5, ,PATROLLING,0
26,Œródmieœcie,Safe,5db7fadf-77c0-44ee-a2c5-7bd6d304eb26, ,PATROLLING,0
26,Œródmieœcie,Safe,0d2ceb05-c06d-406f-ac17-847dc0250467, ,PATROLLING,0
27,Œródmieœcie,Safe,21684171-2713-46c0-b778-bde5834e627a, ,PATROLLING,0
29,Œródmieœcie,Safe,2824fea0-cf4b-43fb-b549-9c156a22a7e0, ,PATROLLING,0
30,Œródmieœcie,Safe,55077f51-ca63-47c8-9cbf-2d31315e277c, ,PATROLLING,0
30,Œródmieœcie,Safe,de9d65a1-4a91-491a-89dd-a5594f725192, ,PATROLLING,0
32,Œródmieœcie,Safe,f8745932-7be4-456b-ae9f-eb532546cb4d, ,PATROLLING,0
32,Œródmieœcie,Safe,983b18d8-ac69-438b-9bb2-fb8be1155dc8, ,PATROLLING,0
33,Œródmieœcie,Safe,e22d1bd6-3d49-4fd2-95fc-8c9fd5462945, ,PATROLLING,0
33,Œródmieœcie,Safe,068bf31d-c0b7-498e-90e3-93a0f4b30d74, ,PATROLLING,0
34,Œródmieœcie,Safe,494c6d15-425b-46f2-bfcf-13b7b5b55b0e, ,PATROLLING,0
35,Œródmieœcie,Safe,63ca1253-33a2-4418-9b87-cd05e99e51b5, ,PATROLLING,0
36,Œródmieœcie,Safe,c2d321a4-c923-48f4-95e6-e98e10c6fd84, ,PATROLLING,0
36,Œródmieœcie,Safe,cf1009e8-99d6-41db-89ca-dada80e32f57, ,PATROLLING,0
37,Œródmieœcie,Safe,5589d1f6-8bf2-488a-ad6a-175b94c459c4, ,PATROLLING,0
38,Œródmieœcie,Safe,f3e69137-0b11-413f-a058-e9aced70ee84, ,PATROLLING,0
39,Œródmieœcie,Safe,3abe186c-dc4d-4ab5-8519-f9e2eba3db79, ,PATROLLING,0
39,Œródmieœcie,Safe,9b7e3921-099b-4edb-97e7-4737737cfed3, ,PATROLLING,0
40,Œródmieœcie,Safe,793eb9de-e325-467a-ae93-f0dbac1a0b8c, ,PATROLLING,0
41,Œródmieœcie,Safe,39445948-33e1-416b-82cb-a9a7e69d9b8f, ,PATROLLING,0
41,Œródmieœcie,Safe,dfd0c2fd-f25f-4862-8963-1584d660c64f, ,PATROLLING,0
42,Œródmieœcie,Safe,290ad1b0-4cb1-44ca-b0c5-b4e010862919, ,PATROLLING,0
43,Œródmieœcie,Safe,2991d35a-fdb3-4799-ace3-15a3c09893f5, ,PATROLLING,0
44,Œródmieœcie,Safe,07105993-d902-414f-89fb-9d43a4d74579, ,PATROLLING,0
44,Œródmieœcie,Safe,69a5564d-ed06-415d-9c5b-855dc208a582, ,PATROLLING,0
45,Œródmieœcie,Safe,90c76391-788c-41b3-9c85-8ead5bc23a4c, ,PATROLLING,0
45,Œródmieœcie,Safe,9c9eb6c3-d343-436b-a384-2fc82d63a6eb, ,PATROLLING,0
46,Œródmieœcie,Safe,f05f644e-9098-4a4f-a710-45a321abe01c, ,PATROLLING,0
47,Œródmieœcie,Safe,852ac25d-1e54-401a-8fcc-ebcd9851f253, ,PATROLLING,0
48,Œródmieœcie,Safe,2974ed17-7047-490d-ae4b-b095cdb6041d, ,PATROLLING,0
48,Œródmieœcie,Safe,8d18c9fd-3991-44af-857f-970928100606, ,PATROLLING,0
49,Œródmieœcie,Safe,b45437de-446e-4885-898f-d4857c86fdd1, ,PATROLLING,0
50,Œródmieœcie,Safe,d0c0e5be-049e-4b85-b151-037a1bb34e6b, ,PATROLLING,0
51,Œródmieœcie,Safe,9b138054-2690-45e5-9e4d-9de40c1da49c, ,PATROLLING,0
68,Œródmieœcie,Safe,477364ca-5e61-47a6-bac1-a384b1e1d98d,PATROLLING,CALCULATING_PATH,0
78,Œródmieœcie,Safe,cad744ad-69e3-4bd2-89b0-76eeb3aa8382,PATROLLING,CALCULATING_PATH,0
254,Œródmieœcie,Safe,94e959ab-c6dc-4e0a-b0e6-34806946a469,PATROLLING,CALCULATING_PATH,0
263,Œródmieœcie,Safe,c6af6149-8950-43cd-8d77-8d96128ddf06,PATROLLING,CALCULATING_PATH,0
273,Œródmieœcie,Safe,20ea95b9-bc76-41c1-aa81-daf878dcef7a,PATROLLING,CALCULATING_PATH,0
282,Œródmieœcie,Safe,3a5768eb-38f7-46df-adc7-fea15dc78df5,PATROLLING,CALCULATING_PATH,0
289,Œródmieœcie,Safe,5db7fadf-77c0-44ee-a2c5-7bd6d304eb26,PATROLLING,CALCULATING_PATH,0
297,Œródmieœcie,Safe,0d2ceb05-c06d-406f-ac17-847dc0250467,PATROLLING,CALCULATING_PATH,0
