"simulationTime[s]","districtName","districtSafetyLevel","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfReturningToHqPatrols","amountOfIncidents","isNight"
3607,Bemowo,RatherSafe,1,1,0,0,0,0,0,0,0,0
3607,Bielany,NotSafe,0,0,0,0,0,0,0,0,0,0
3607,Wola,Safe,2,2,0,0,0,0,0,0,0,0
3607,¯oliborz,RatherSafe,2,0,1,0,0,1,0,0,1,0
3607,Ochota,RatherSafe,2,0,0,0,0,2,0,0,2,0
3607,Ursus,RatherSafe,1,0,0,0,0,1,0,0,1,0
3607,W³ochy,NotSafe,1,0,1,0,0,0,0,0,0,0
3607,Œródmieœcie,Safe,2,1,0,0,0,1,0,0,1,0
3607,Mokotów,NotSafe,6,4,1,0,0,1,0,0,1,0
3607,Ursynów,Safe,2,1,1,0,0,0,0,0,0,0
3607,Wilanów,RatherSafe,0,0,0,0,0,0,0,0,0,0
3607,Praga-Po³udnie,NotSafe,11,2,0,0,0,0,9,0,3,0
3607,Praga-Pó³noc,Safe,4,4,0,0,0,0,0,0,0,0
3607,Bia³o³êka,Safe,1,0,0,0,0,1,0,0,1,0
3607,Targówek,NotSafe,2,1,1,0,0,0,0,0,1,0
3607,Rembertów,RatherSafe,0,0,0,0,0,0,0,0,0,0
3607,Wawer,RatherSafe,1,1,0,0,0,0,0,0,0,0
3607,Weso³a,RatherSafe,1,0,0,0,0,1,0,0,1,0
7200,Bemowo,RatherSafe,3,2,0,0,0,1,0,0,1,0
7200,Bielany,NotSafe,3,1,1,0,0,1,0,0,1,0
7200,Wola,Safe,1,0,1,0,0,0,0,0,0,0
7200,¯oliborz,RatherSafe,2,0,0,0,0,2,0,0,2,0
7200,Ochota,RatherSafe,2,0,2,0,0,0,0,0,0,0
7200,Ursus,RatherSafe,1,0,1,0,0,0,0,0,0,0
7200,W³ochy,NotSafe,2,1,0,0,0,1,0,0,1,0
7200,Œródmieœcie,Safe,2,2,0,0,0,0,0,0,0,0
7200,Mokotów,NotSafe,1,1,0,0,0,0,0,0,0,0
7200,Ursynów,Safe,1,1,0,0,0,0,0,0,0,0
7200,Wilanów,RatherSafe,1,0,0,0,0,1,0,0,1,0
7200,Praga-Po³udnie,NotSafe,10,1,0,0,0,0,9,0,2,0
7200,Praga-Pó³noc,Safe,1,1,0,0,0,0,0,0,0,0
7200,Bia³o³êka,Safe,1,1,0,0,0,0,0,0,0,0
7200,Targówek,NotSafe,1,0,0,0,0,1,0,0,1,0
7200,Rembertów,RatherSafe,2,1,0,0,0,0,1,0,1,0
7200,Wawer,RatherSafe,5,5,0,0,0,0,0,0,0,0
7200,Weso³a,RatherSafe,1,0,0,0,0,1,0,0,1,0
10800,Bemowo,RatherSafe,3,0,0,0,1,2,0,0,2,0
10800,Bielany,NotSafe,5,1,0,0,0,0,4,0,1,0
10800,Wola,Safe,0,0,0,0,0,0,0,0,0,0
10800,¯oliborz,RatherSafe,1,1,0,0,0,0,0,0,0,0
10800,Ochota,RatherSafe,0,0,0,0,0,0,0,0,0,0
10800,Ursus,RatherSafe,0,0,0,0,0,0,0,0,0,0
