"Bemowo","Bielany","Wola","¯oliborz","Ochota","Ursus","W³ochy","Œródmieœcie","Mokotów","Ursynów","Wilanów","Praga-Po³udnie","Praga-Pó³noc","Bia³o³êka","Targówek","Rembertów","Wawer","Weso³a"
"0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0"
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
"0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0"
"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1"
"0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0"
"0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0"
"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
"0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0"
"0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0"
"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0"
"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
"0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0"
"0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0"
"0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0"
"0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1"
"0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0"
"0,1,0,1,1,0,0,0,2,0,0,0,0,0,3,0,1,0"
"0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
"0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0"
"0,0,0,2,0,0,2,0,1,0,0,1,0,0,1,1,0,0"
