"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"10,22,20,8,7,0,0"
"23,23,24,0,0,0,0"
"24,35,30,9,8,0,0"
"30,30,28,5,5,0,0"
"21,28,27,7,7,0,0"
"25,30,26,9,9,0,0"
"27,37,30,8,9,0,0"
"23,26,25,21,21,0,0"
"22,25,28,16,11,39,0"
"21,27,23,2,2,1,1"
"26,22,26,8,8,0,0"
"13,17,15,6,5,0,0"
"28,28,27,4,4,0,0"
"21,27,28,5,3,0,0"
"23,19,21,15,14,0,0"
"19,31,23,8,6,4,0"
"21,31,35,23,14,41,0"
"22,30,22,20,20,1,0"
"16,30,21,24,21,0,0"
"22,31,28,20,18,0,0"
"28,27,28,13,14,0,0"
"20,35,33,7,10,0,0"
"30,42,41,21,20,0,0"
