"simulationTime","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfNeutralizedPatrols","amountOfReturningToHqPatrols","amountOfIncidents","amountOfInterventions","amountOfInterventionsBeingSolved","amountOfFirings","amountOfFiringBeingSolved","isNight"
3607,40,16,7,0,0,8,9,0,0,12,10,10,2,2,0
7200,40,17,5,0,0,8,10,0,0,11,8,8,3,3,0
10800,40,12,3,2,1,11,11,0,0,19,16,16,3,3,0
14402,40,11,0,3,1,8,17,0,0,18,13,13,5,5,0
18002,40,12,1,2,1,11,13,0,0,20,14,14,6,6,0
21601,40,17,3,2,1,8,9,0,0,16,13,13,3,3,0
25202,40,7,1,6,0,10,16,0,0,22,19,19,3,3,0
28800,47,10,3,2,0,6,26,0,0,15,10,10,5,5,0
32400,55,24,5,0,0,11,8,0,7,14,12,12,2,2,0
36000,47,26,1,5,0,12,2,1,0,18,17,17,1,1,0
39602,46,23,2,1,0,9,11,1,0,13,10,10,3,3,0
43201,46,26,1,3,0,9,7,1,0,15,13,12,2,2,0
46802,46,30,1,3,0,7,5,1,0,12,11,11,1,1,0
50401,46,22,6,1,0,12,5,1,0,17,15,15,2,2,0
54000,46,20,0,1,0,6,19,1,0,12,7,7,5,5,0
57602,42,14,1,7,0,9,11,1,0,18,15,15,3,3,1
61201,54,10,3,2,2,16,20,1,1,26,19,19,7,7,1
64800,54,4,4,4,0,10,32,1,0,23,14,14,9,9,1
68404,57,13,2,3,3,10,26,1,0,25,18,18,7,7,1
72000,57,11,0,4,5,8,29,1,0,24,13,13,11,11,1
75600,57,25,5,0,0,7,20,1,0,12,7,7,5,5,1
79200,57,27,2,2,0,15,11,1,0,22,17,17,5,5,1
82802,57,9,5,1,0,18,24,1,0,27,20,19,7,7,1
