"simulationTime[s]","patrolState","timeInState[s]"
797,PATROLLING,796.0
921,CALCULATING_PATH,124.0
975,PATROLLING,54.0
1071,CALCULATING_PATH,96.0
1458,TRANSFER_TO_INTERVENTION,387.0
3110,INTERVENTION,1651.0
3403,CALCULATING_PATH,293.0
4707,PATROLLING,1304.0
4758,CALCULATING_PATH,51.0
5357,TRANSFER_TO_INTERVENTION,599.0
6352,INTERVENTION,995.0
6441,CALCULATING_PATH,89.0
6751,PATROLLING,310.0
6801,CALCULATING_PATH,50.0
7030,TRANSFER_TO_INTERVENTION,229.0
8481,INTERVENTION,1451.0
8539,CALCULATING_PATH,58.0
9240,PATROLLING,701.0
9307,CALCULATING_PATH,67.0
9588,TRANSFER_TO_INTERVENTION,281.0
11395,INTERVENTION,1807.0
11453,CALCULATING_PATH,58.0
11840,PATROLLING,387.0
11891,CALCULATING_PATH,51.0
12224,TRANSFER_TO_INTERVENTION,333.0
13395,INTERVENTION,1171.0
13447,CALCULATING_PATH,52.0
13613,PATROLLING,166.0
13670,CALCULATING_PATH,57.0
13858,TRANSFER_TO_INTERVENTION,188.0
13909,CALCULATING_PATH,51.0
14158,TRANSFER_TO_FIRING,249.0
18047,FIRING,3889.0
18098,PATROLLING,51.0
18178,CALCULATING_PATH,80.0
18445,PATROLLING,267.0
18502,CALCULATING_PATH,57.0
18912,TRANSFER_TO_INTERVENTION,410.0
20221,INTERVENTION,1309.0
20322,CALCULATING_PATH,101.0
21506,PATROLLING,1184.0
21566,CALCULATING_PATH,60.0
21704,TRANSFER_TO_INTERVENTION,138.0
22648,INTERVENTION,944.0
22699,CALCULATING_PATH,51.0
23316,PATROLLING,617.0
23400,CALCULATING_PATH,84.0
23690,PATROLLING,290.0
23745,CALCULATING_PATH,55.0
23774,TRANSFER_TO_INTERVENTION,29.0
23852,CALCULATING_PATH,78.0
24128,TRANSFER_TO_FIRING,276.0
28351,FIRING,4223.0
28384,PATROLLING,33.0
28436,CALCULATING_PATH,52.0
28620,TRANSFER_TO_FIRING,184.0
31029,FIRING,2409.0
31080,PATROLLING,51.0
31109,CALCULATING_PATH,28.0
32903,RETURNING_TO_HQ,1794.0
34194,FIRING,1291.0
34241,PATROLLING,47.0
34268,CALCULATING_PATH,27.0
34950,RETURNING_TO_HQ,682.0
35139,INTERVENTION,189.0
35194,CALCULATING_PATH,55.0
35847,PATROLLING,653.0
35903,CALCULATING_PATH,56.0
37063,PATROLLING,1160.0
37121,CALCULATING_PATH,58.0
37525,TRANSFER_TO_INTERVENTION,404.0
38951,INTERVENTION,1426.0
39008,CALCULATING_PATH,57.0
40014,PATROLLING,1006.0
40097,CALCULATING_PATH,83.0
40204,PATROLLING,107.0
40263,CALCULATING_PATH,59.0
40628,TRANSFER_TO_INTERVENTION,365.0
42122,INTERVENTION,1494.0
42189,CALCULATING_PATH,67.0
42976,PATROLLING,787.0
43045,CALCULATING_PATH,69.0
43356,TRANSFER_TO_INTERVENTION,311.0
44586,INTERVENTION,1230.0
44648,CALCULATING_PATH,62.0
45881,PATROLLING,1233.0
45945,CALCULATING_PATH,64.0
47540,PATROLLING,1595.0
47622,CALCULATING_PATH,82.0
48000,PATROLLING,378.0
48051,CALCULATING_PATH,51.0
48190,TRANSFER_TO_INTERVENTION,139.0
49527,INTERVENTION,1337.0
49593,CALCULATING_PATH,66.0
50943,PATROLLING,1350.0
51013,CALCULATING_PATH,70.0
52269,PATROLLING,1256.0
52330,CALCULATING_PATH,61.0
53659,PATROLLING,1329.0
53718,CALCULATING_PATH,59.0
54164,PATROLLING,446.0
54217,CALCULATING_PATH,53.0
54332,TRANSFER_TO_INTERVENTION,115.0
54854,INTERVENTION,522.0
57113,FIRING,2259.0
57140,PATROLLING,27.0
57191,CALCULATING_PATH,51.0
57466,RETURNING_TO_HQ,275.0
59877,FIRING,2411.0
59904,PATROLLING,27.0
59966,CALCULATING_PATH,62.0
61718,RETURNING_TO_HQ,1752.0
63585,FIRING,1867.0
63633,PATROLLING,48.0
63663,CALCULATING_PATH,30.0
64337,RETURNING_TO_HQ,674.0
66738,FIRING,2401.0
66786,PATROLLING,48.0
66818,CALCULATING_PATH,32.0
67188,PATROLLING,370.0
67268,CALCULATING_PATH,80.0
67871,TRANSFER_TO_FIRING,603.0
69721,FIRING,1850.0
69768,PATROLLING,47.0
69794,CALCULATING_PATH,26.0
70250,PATROLLING,456.0
70305,CALCULATING_PATH,55.0
70871,TRANSFER_TO_INTERVENTION,566.0
71747,INTERVENTION,876.0
71802,CALCULATING_PATH,55.0
71912,PATROLLING,110.0
71948,CALCULATING_PATH,36.0
72136,TRANSFER_TO_FIRING,188.0
76423,FIRING,4287.0
76485,PATROLLING,62.0
76518,CALCULATING_PATH,33.0
77302,PATROLLING,784.0
77353,CALCULATING_PATH,51.0
77443,TRANSFER_TO_INTERVENTION,90.0
79128,INTERVENTION,1685.0
79223,CALCULATING_PATH,95.0
80475,PATROLLING,1252.0
80527,CALCULATING_PATH,52.0
81175,PATROLLING,648.0
81241,CALCULATING_PATH,66.0
81330,TRANSFER_TO_FIRING,89.0
85656,FIRING,4326.0
85694,PATROLLING,38.0
85759,CALCULATING_PATH,65.0
86142,PATROLLING,383.0
86192,CALCULATING_PATH,50.0
