"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
924,9219aa16-a1a8-4ea2-ae55-d0264c40a6f8,Praga-Po³udnie,NotSafe,"3084,871957122652"
927,4416d3e1-22a1-4f72-bb5f-4b334a9d97a0,Targówek,NotSafe,"4014,00717548805"
1011,d6d8c10e-5a06-44fb-bb75-dad0d33204be,Wilanów,RatherSafe,"1975,1244316375535"
1073,a9fa2856-f0c3-42ad-9182-013c3b34cc71,Mokotów,NotSafe,"2356,5410044696573"
1129,f526f47b-0149-4f4b-95a1-e0a772be521c,Œródmieœcie,Safe,"1820,1661161883405"
1130,41f24b69-6dbf-4b2e-b0f7-98eeba53f6a3,Ursynów,Safe,"4820,463846202152"
1132,cb54dc74-1888-44db-8015-8f8681f7a3f8,Praga-Po³udnie,NotSafe,"2196,1715877089277"
1229,6924a847-a597-44a3-a48a-dc0f73ab37cb,Bemowo,RatherSafe,"1590,6213767919908"
1689,22f9882d-d2a9-4195-93f2-6428947e12dc,Weso³a,RatherSafe,"6613,997449792837"
1977,b4063a91-d603-428c-8db5-662517971dfb,¯oliborz,RatherSafe,"829,3561362566691"
2052,a75abd58-d160-4dde-9f4e-c64de856c93a,Praga-Po³udnie,NotSafe,"1825,2354667086227"
2167,4f5f817a-c024-4df5-850b-7bf0b2eb58d1,Bemowo,RatherSafe,"1146,9829986120449"
2293,3302343d-13c0-4e74-bb30-79723dfae474,Ursus,RatherSafe,"939,1857154747275"
2294,dded972d-6d63-41e4-b464-36f07f11a1df,Weso³a,RatherSafe,"4507,246864763523"
2399,dee335ed-3475-4a9d-a608-c8d15f6bcf56,Œródmieœcie,Safe,"2344,717976416871"
2524,3dbdb948-b7b0-4256-8882-60e0d602cb92,¯oliborz,RatherSafe,"367,8271306628078"
2569,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,"1929,5014621027315"
2571,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,"3274,365718506319"
2573,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,"2911,7585392275614"
2610,cad43aeb-cf6a-4f83-a7ed-bf998e0a8c79,Mokotów,NotSafe,"1831,250160738989"
2646,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,"3404,649894103541"
2679,6b373ff5-9705-4305-b2f2-16cb7390c08f,Praga-Po³udnie,NotSafe,"4487,204800838565"
2773,64068ab1-d203-42f7-a869-d70943a003d9,Bia³o³êka,Safe,"2971,774294122638"
2851,0db92f7b-b783-4d8b-bd08-8e1f1aad92c3,Ochota,RatherSafe,"2810,016343667651"
2948,7f213e78-bb4f-430b-8d5b-774e92f29fd4,Ochota,RatherSafe,"2745,1995222689607"
3021,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,"3233,016727339314"
3024,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,"3438,608368614263"
3057,b68eccfd-3148-40d8-9ca0-0e2cf09abf12,Praga-Po³udnie,NotSafe,"2724,602077966143"
3076,b68eccfd-3148-40d8-9ca0-0e2cf09abf12,Praga-Po³udnie,NotSafe,"1488,9520412186027"
3564,d71beae6-3a65-47b0-916a-b16a089a1b11,Targówek,NotSafe,"268,7201608630403"
3767,60466b49-1761-4348-98b1-cf77abfc3991,Ursus,RatherSafe,"2410,4528213283934"
3769,7d89365f-903f-4ccc-bc2e-72c1ed6fefdf,Rembertów,RatherSafe,"1476,4716639930282"
