"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
2575,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,"2654,1028316198012",119.43462742289105
3077,b68eccfd-3148-40d8-9ca0-0e2cf09abf12,Praga-Po³udnie,NotSafe,"7105,759833353039",319.75919250088674
6033,6e9e4c60-411c-4771-9981-03defa611ffb,Rembertów,RatherSafe,"498,9530717781523",22.452888230016857
9593,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,"5403,387681261603",243.15244565677213
10148,61420867-34d4-44ce-955d-64c81939ba2b,W³ochy,NotSafe,"17618,73481997775",792.8430668989988
10505,856fe753-9e3d-48eb-a947-668983fa4116,Bielany,NotSafe,"14590,653153399386",656.5793919029724
12952,34686f7d-0530-4772-bd66-8cb2a30c8981,W³ochy,NotSafe,"15515,936735433257",698.2171530944966
13308,90f066ee-5634-4d47-a50a-9c8c6696d792,Weso³a,RatherSafe,"5260,026322415362",236.7011845086913
15624,ef94a413-6785-441a-b050-1bbea895b3a3,W³ochy,NotSafe,"17687,782516491323",795.9502132421096
16954,4e087fb1-5c32-46da-a04e-6c27efb5d3d4,Wilanów,RatherSafe,"11581,535343000736",521.1690904350331
16954,f6667534-f2ef-4e15-acbe-42033030d341,Wilanów,RatherSafe,"11858,198069503977",533.618913127679
17084,7174cf45-93bc-4cc8-9bc3-99c2fafb82dc,Ursynów,Safe,"12997,823926610356",584.902076697466
18100,19d4203f-3f52-43cd-be1d-71aa5138b96e,W³ochy,NotSafe,"17937,516150213563",807.1882267596104
18474,40c5f3d5-19f9-449e-8756-a88c8b39ebb6,Praga-Pó³noc,Safe,"7981,934917518917",359.18707128835126
21101,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,"10869,029528502986",489.10632878263436
21328,705b0450-e857-4429-bf0a-cc2b3d1b69ed,Wawer,RatherSafe,"9100,704672689759",409.5317102710392
23658,09414215-06fe-4f2c-9707-8c30a9598cf5,Targówek,NotSafe,"7180,17801530606",323.1080106887727
23854,4dba3725-edc7-45fb-8fa2-c674c139d0df,Bielany,NotSafe,"15121,875954664365",680.4844179598964
25766,2d318249-07d7-4000-9b2c-7902baa1b077,Praga-Po³udnie,NotSafe,"3039,850168732123",136.79325759294554
26072,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,"14091,090995260576",634.0990947867259
26259,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,"9133,334540281934",411.00005431268704
26396,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,"9799,427819104218",440.9742518596898
27120,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,"15923,524458450895",716.5586006302902
29694,ac9737d3-e410-4680-9e1c-71d259e1bbe4,Wilanów,RatherSafe,"10768,75641694981",484.59403876274143
30306,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,"12044,981328703025",542.0241597916362
34920,15995cae-889b-4c11-8489-754357ef18b1,Weso³a,RatherSafe,"5177,057956592845",232.967608046678
35277,15995cae-889b-4c11-8489-754357ef18b1,Weso³a,RatherSafe,"5177,057956592845",232.967608046678
37527,6ff93d44-ed67-416e-93d9-6650ad3bc1ea,Wilanów,RatherSafe,"11591,28937847789",521.608022031505
38441,d5425ba8-e838-4222-bf91-5c572b50e8fb,Targówek,NotSafe,"7279,955203911669",327.59798417602514
39173,5aa193af-ea9e-4a24-b2ff-ef975e686942,Ursus,RatherSafe,"20616,454817190337",927.7404667735652
40325,62abcad4-a405-41e2-8926-c8d5f66f8e0c,Wawer,RatherSafe,"9085,244630576479",408.83600837594156
40388,860475b7-ec19-4f96-b482-51adba9de34a,Mokotów,NotSafe,"10310,751344403197",463.9838104981439
44590,ae6a8899-a336-417b-a8aa-48be258a698f,Ochota,RatherSafe,"13693,182287684216",616.1932029457897
47920,ceb5378a-85b7-4c0e-b183-d33728721830,Bemowo,RatherSafe,"17121,780737335524",770.4801331800986
50216,c283c292-6d80-4ad4-b809-ae88a00e7263,Rembertów,RatherSafe,"1981,167123125137",89.15252054063117
50697,311153eb-a225-4df5-94bb-7ab1d96fd0e5,Praga-Po³udnie,NotSafe,"3629,6780523872953",163.33551235742829
52033,696c7e3e-8c0e-484d-a56a-a278b3941f5b,W³ochy,NotSafe,"15028,859651040879",676.2986842968396
52871,ff359902-357a-403a-b72a-3a9ba4d9a995,Mokotów,NotSafe,"11848,763326865255",533.1943497089366
53181,5feeee39-eb58-457c-a67f-b60c4ab54ef3,Targówek,NotSafe,"7070,657015044815",318.1795656770167
54335,152d66d3-59c3-4515-81e9-008886a670c6,Praga-Po³udnie,NotSafe,"2471,1944797059264",111.20375158676669
54820,677c5216-70aa-4a48-941b-5f863e5fa3fb,Œródmieœcie,Safe,"10328,813851894327",464.7966233352447
56023,42605f43-e0fa-4f49-8ebb-dc146468ef0c,Ochota,RatherSafe,"13792,787474549448",620.6754363547252
59019,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,"5151,605780448706",231.8222601201918
59455,b088ed83-2d9f-4603-9daf-b53f298ee7a0,Ursynów,Safe,"13704,651981031884",616.7093391464348
59764,c3ff1442-f38e-47ba-a003-0115c960aece,Wola,Safe,"14087,12002228685",633.9204010029083
59994,40851a26-c043-4670-859c-7a72ebbee19e,Bielany,NotSafe,"19032,747649121564",856.4736442104704
60831,8ffe0879-2c19-4693-9565-ac6fb9fe7291,Rembertów,RatherSafe,"783,7817030798916",35.270176638595125
60913,a3b601c0-7245-4624-85a3-eaee6c2fbe24,Mokotów,NotSafe,"13080,522741990391",588.6235233895676
61216,691db194-acc9-40ef-807d-2c4d3a45b096,Bielany,NotSafe,"15336,34732187519",690.1356294843836
61877,903e80bb-e7a0-4206-9453-77b7c8b2858e,Bielany,NotSafe,"15688,036999794094",705.9616649907342
62832,fbf4b12a-4073-499b-b275-2ab026f81894,Praga-Po³udnie,NotSafe,"7108,463586915274",319.88086141118737
63097,908ac3c1-5f5b-44f3-bdae-90ec8059a4d9,Targówek,NotSafe,"7007,151152483171",315.3218018617427
63967,69e2b785-c138-4b57-b972-b9316bfff162,Œródmieœcie,Safe,"9248,300674710366",416.1735303619665
65526,c90bad2b-a68f-4dad-b58d-b66d40451c1c,Praga-Po³udnie,NotSafe,"2612,4702695617398",117.56116213027829
65937,71d148d6-a0a9-4259-a191-4cf722d49747,Weso³a,RatherSafe,"6082,741618633774",273.7233728385198
66443,8ba50aef-d4d3-4b33-9add-57dd15895ea0,W³ochy,NotSafe,"13991,658719644223",629.62464238399
66821,a91cb2e2-24ca-497e-8c33-e480c14bde33,W³ochy,NotSafe,"17845,058246342054",803.0276210853924
67305,d4af6df2-9244-4262-82b5-3ab640115f69,¯oliborz,RatherSafe,"11648,158606795645",524.1671373058041
67898,7fa30e97-1513-4a1b-bf8a-01b2dbad02a5,Mokotów,NotSafe,"13458,222288919938",605.6200030013972
68204,8bc92718-860b-4707-8a89-0ace696ff179,Targówek,NotSafe,"6962,312278182165",313.3040525181974
68741,51160dcf-c248-4aa0-8af9-7be1d85b85fa,Bielany,NotSafe,"16887,996668823722",759.9598500970675
69612,7c82ed3a-2730-453d-8685-56a26dabc798,Mokotów,NotSafe,"13682,306991531561",615.7038146189203
70305,b1acd20f-88ba-4ae8-8408-cbf38fe57c37,Wawer,RatherSafe,"7992,617032509138",359.66776646291123
70495,a413e52c-f3c8-4aa1-a313-6294e4191dcf,Targówek,NotSafe,"5469,3284815487905",246.11978166969558
70603,de1f86af-e73a-4489-bbec-c9cc0a08858b,Ochota,RatherSafe,"11044,92754103227",497.02173934645214
72795,405216df-ffb0-43a7-86e7-15ca3dcf333f,Mokotów,NotSafe,"10159,1446982185",457.16151141983255
72875,ee48cd00-b9f1-4e81-b260-cc838727c001,Targówek,NotSafe,"6855,857697296101",308.51359637832456
