"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
2570,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,6,1,1,1,"1929,5014621027315",0
2573,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,6,1,3,2,"6186,12425773388",0
2646,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,6,1,4,1,"3404,649894103541",0
3024,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,6,4,3,2,"6671,625095953577",0
3057,b68eccfd-3148-40d8-9ca0-0e2cf09abf12,Praga-Po³udnie,NotSafe,3,1,1,1,"2724,602077966143",0
3076,b68eccfd-3148-40d8-9ca0-0e2cf09abf12,Praga-Po³udnie,NotSafe,3,1,2,1,"1488,9520412186027",0
9590,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,6,1,1,1,"828,572128487787",0
9593,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,6,1,3,2,"5185,302948747772",0
9812,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,6,3,2,1,"3417,247623926123",0
9937,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,6,4,2,1,"3346,9581513304242",0
10503,856fe753-9e3d-48eb-a947-668983fa4116,Bielany,NotSafe,5,1,1,1,"1702,4144742706678",0
10504,856fe753-9e3d-48eb-a947-668983fa4116,Bielany,NotSafe,5,1,2,1,"2613,7383498673153",0
10537,856fe753-9e3d-48eb-a947-668983fa4116,Bielany,NotSafe,5,1,3,1,"3142,1430879968802",0
10563,856fe753-9e3d-48eb-a947-668983fa4116,Bielany,NotSafe,5,1,4,1,"3547,9156879022566",0
11784,61420867-34d4-44ce-955d-64c81939ba2b,W³ochy,NotSafe,5,1,1,1,"3587,2268659144297",0
12951,34686f7d-0530-4772-bd66-8cb2a30c8981,W³ochy,NotSafe,3,1,1,1,"1767,2481476653252",0
12978,34686f7d-0530-4772-bd66-8cb2a30c8981,W³ochy,NotSafe,3,1,2,1,"3457,3652050854275",0
13833,90f066ee-5634-4d47-a50a-9c8c6696d792,Weso³a,RatherSafe,3,1,1,1,"3377,0937229269766",0
14246,61420867-34d4-44ce-955d-64c81939ba2b,W³ochy,NotSafe,5,2,1,1,"3299,6469415106567",0
14600,61420867-34d4-44ce-955d-64c81939ba2b,W³ochy,NotSafe,5,3,1,1,"3538,7120935781973",0
15847,61420867-34d4-44ce-955d-64c81939ba2b,W³ochy,NotSafe,5,4,1,1,"3517,5363623236244",0
15954,ef94a413-6785-441a-b050-1bbea895b3a3,W³ochy,NotSafe,3,1,1,1,"3373,0208980098273",0
15981,ef94a413-6785-441a-b050-1bbea895b3a3,W³ochy,NotSafe,3,1,2,1,"3246,567629050443",0
16063,90f066ee-5634-4d47-a50a-9c8c6696d792,Weso³a,RatherSafe,3,2,1,1,"3365,199435955238",0
17208,7174cf45-93bc-4cc8-9bc3-99c2fafb82dc,Ursynów,Safe,2,1,1,1,"3549,8909495003336",0
17748,4e087fb1-5c32-46da-a04e-6c27efb5d3d4,Wilanów,RatherSafe,2,1,1,1,"3458,6861734687413",0
18099,19d4203f-3f52-43cd-be1d-71aa5138b96e,W³ochy,NotSafe,2,1,1,1,"1475,4160629121334",0
18472,40c5f3d5-19f9-449e-8756-a88c8b39ebb6,Praga-Pó³noc,Safe,2,1,2,2,"4004,3622100510715",0
21099,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,6,1,1,1,"1983,8410765393583",0
21101,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,6,1,3,2,"6895,783291705204",0
21156,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,6,1,4,1,"3318,159484873319",0
21213,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,6,1,5,1,"3450,316301203404",0
21409,705b0450-e857-4429-bf0a-cc2b3d1b69ed,Wawer,RatherSafe,2,1,1,1,"3555,0159902402406",0
23657,09414215-06fe-4f2c-9707-8c30a9598cf5,Targówek,NotSafe,5,1,2,2,"6757,626850868421",0
23746,09414215-06fe-4f2c-9707-8c30a9598cf5,Targówek,NotSafe,5,1,3,1,"887,0102858121493",0
23747,09414215-06fe-4f2c-9707-8c30a9598cf5,Targówek,NotSafe,5,1,4,1,"3468,1389048031465",0
23854,4dba3725-edc7-45fb-8fa2-c674c139d0df,Bielany,NotSafe,5,1,1,1,"1529,122779835143",0
23882,4dba3725-edc7-45fb-8fa2-c674c139d0df,Bielany,NotSafe,5,1,2,1,"1713,3877543052265",0
23884,4dba3725-edc7-45fb-8fa2-c674c139d0df,Bielany,NotSafe,5,1,3,1,"3421,7260106555127",0
24789,4dba3725-edc7-45fb-8fa2-c674c139d0df,Bielany,NotSafe,5,4,1,1,"3364,7323573054905",0
25808,2d318249-07d7-4000-9b2c-7902baa1b077,Praga-Po³udnie,NotSafe,3,1,1,1,"3285,860241043303",0
25840,2d318249-07d7-4000-9b2c-7902baa1b077,Praga-Po³udnie,NotSafe,3,1,2,1,"3522,9537221315964",0
26071,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,6,1,2,2,"5724,5093263326935",0
26286,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,6,2,2,1,"1909,4081033625966",0
26396,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,6,1,1,1,"2792,695366188219",0
27120,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,6,1,1,1,"1751,117833355258",0
27150,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,6,1,3,2,"6879,652874731439",0
27231,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,6,1,4,1,"3544,4370732435646",0
27258,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,6,1,5,1,"3253,298340467623",0
27497,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,6,4,1,1,"3567,4326049588412",0
27498,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,6,2,1,1,"3512,0945391985806",0
27608,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,6,4,2,1,"3551,2969536024466",0
27805,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,5,1,1,1,"1220,4079721843345",0
28043,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,6,3,1,1,"3583,0705835898884",0
28357,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,6,4,5,5,"14978,979300483741",0
29062,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,5,2,1,1,"1926,1974271519425",0
29693,ac9737d3-e410-4680-9e1c-71d259e1bbe4,Wilanów,RatherSafe,3,1,2,2,"629,5788801018588",0
29815,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,5,3,7,7,"24548,884330371555",0
30306,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,5,1,2,2,"1835,7290848723985",0
30349,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,5,1,3,1,"2346,907942277043",0
30383,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,5,1,6,3,"10115,594792765354",0
34919,15995cae-889b-4c11-8489-754357ef18b1,Weso³a,RatherSafe,2,1,1,1,"2818,577180792705",0
34977,15995cae-889b-4c11-8489-754357ef18b1,Weso³a,RatherSafe,2,0,2,1,"3371,548694940202",0
37526,6ff93d44-ed67-416e-93d9-6650ad3bc1ea,Wilanów,RatherSafe,4,1,1,1,"2017,5427611256898",0
37526,6ff93d44-ed67-416e-93d9-6650ad3bc1ea,Wilanów,RatherSafe,4,1,2,1,"2880,235407811715",0
37644,6ff93d44-ed67-416e-93d9-6650ad3bc1ea,Wilanów,RatherSafe,4,1,3,1,"3490,4008142663133",0
38441,d5425ba8-e838-4222-bf91-5c572b50e8fb,Targówek,NotSafe,5,1,2,2,"5579,522745815171",0
38748,d5425ba8-e838-4222-bf91-5c572b50e8fb,Targówek,NotSafe,5,2,2,1,"3463,78195314653",0
38834,d5425ba8-e838-4222-bf91-5c572b50e8fb,Targówek,NotSafe,5,3,2,1,"3598,747761509286",0
39172,5aa193af-ea9e-4a24-b2ff-ef975e686942,Ursus,RatherSafe,2,1,1,1,"2792,4703588849834",0
40323,62abcad4-a405-41e2-8926-c8d5f66f8e0c,Wawer,RatherSafe,4,1,1,1,"2314,481960883663",0
40325,62abcad4-a405-41e2-8926-c8d5f66f8e0c,Wawer,RatherSafe,4,1,3,2,"5616,046766513618",0
40387,860475b7-ec19-4f96-b482-51adba9de34a,Mokotów,NotSafe,3,1,1,1,"2324,566186715748",0
40416,860475b7-ec19-4f96-b482-51adba9de34a,Mokotów,NotSafe,3,1,3,2,"6481,472345325357",0
44589,ae6a8899-a336-417b-a8aa-48be258a698f,Ochota,RatherSafe,5,1,3,3,"4528,563970026115",0
44616,ae6a8899-a336-417b-a8aa-48be258a698f,Ochota,RatherSafe,5,1,4,1,"2298,8144389932663",0
47918,ceb5378a-85b7-4c0e-b183-d33728721830,Bemowo,RatherSafe,4,1,1,1,"1017,6168878274492",0
47919,ceb5378a-85b7-4c0e-b183-d33728721830,Bemowo,RatherSafe,4,1,3,2,"5671,5389604674265",0
50338,c283c292-6d80-4ad4-b809-ae88a00e7263,Rembertów,RatherSafe,3,1,2,2,"6964,937962316057",0
50697,311153eb-a225-4df5-94bb-7ab1d96fd0e5,Praga-Po³udnie,NotSafe,5,1,1,1,"2645,5258925084026",0
50911,311153eb-a225-4df5-94bb-7ab1d96fd0e5,Praga-Po³udnie,NotSafe,5,1,2,1,"3452,6481412953262",0
51044,311153eb-a225-4df5-94bb-7ab1d96fd0e5,Praga-Po³udnie,NotSafe,5,2,2,1,"1727,9154652345",0
51071,311153eb-a225-4df5-94bb-7ab1d96fd0e5,Praga-Po³udnie,NotSafe,5,2,3,1,"3241,9427992026585",0
52033,696c7e3e-8c0e-484d-a56a-a278b3941f5b,W³ochy,NotSafe,3,1,1,1,"1440,0053804618663",0
52062,696c7e3e-8c0e-484d-a56a-a278b3941f5b,W³ochy,NotSafe,3,1,4,3,"10003,699418699305",0
52871,ff359902-357a-403a-b72a-3a9ba4d9a995,Mokotów,NotSafe,4,1,2,2,"3406,9802058751065",0
52907,ff359902-357a-403a-b72a-3a9ba4d9a995,Mokotów,NotSafe,4,1,5,3,"9254,6796911905",0
53393,5feeee39-eb58-457c-a67f-b60c4ab54ef3,Targówek,NotSafe,3,1,1,1,"3472,405644302095",0
53833,5feeee39-eb58-457c-a67f-b60c4ab54ef3,Targówek,NotSafe,3,2,1,1,"1500,3255863150735",0
54333,152d66d3-59c3-4515-81e9-008886a670c6,Praga-Po³udnie,NotSafe,4,1,1,1,"2105,4491273604444",0
54334,152d66d3-59c3-4515-81e9-008886a670c6,Praga-Po³udnie,NotSafe,4,1,2,1,"2768,6342177772153",0
54335,152d66d3-59c3-4515-81e9-008886a670c6,Praga-Po³udnie,NotSafe,4,1,3,1,"1579,6445787460882",0
56022,42605f43-e0fa-4f49-8ebb-dc146468ef0c,Ochota,RatherSafe,4,1,2,2,"3602,5358758505868",0
56085,42605f43-e0fa-4f49-8ebb-dc146468ef0c,Ochota,RatherSafe,4,1,5,3,"9882,348542575197",0
59019,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,5,1,3,3,"4594,090377251231",1
59056,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,5,1,9,6,"18221,618504367645",1
