"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
2568,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,PATROLLING,2,"1929,5014621027315",0
2571,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,PATROLLING,3,"3274,365718506319",0
2573,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,PATROLLING,3,"2911,7585392275614",0
2645,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,PATROLLING,3,"3404,649894103541",0
3021,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,PATROLLING,3,"3233,016727339314",0
3022,ed740684-cc83-4bc0-9eb6-eaa1ab7d9116,Praga-Po³udnie,NotSafe,PATROLLING,3,"3438,608368614263",0
3055,b68eccfd-3148-40d8-9ca0-0e2cf09abf12,Praga-Po³udnie,NotSafe,PATROLLING,3,"2724,602077966143",0
3076,b68eccfd-3148-40d8-9ca0-0e2cf09abf12,Praga-Po³udnie,NotSafe,TRANSFER_TO_INTERVENTION,4,"1488,9520412186027",0
9589,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,PATROLLING,1,"828,572128487787",0
9591,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,PATROLLING,3,"2620,9844407006467",0
9592,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,PATROLLING,3,"2564,318508047125",0
9812,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,PATROLLING,3,"3417,247623926123",0
9936,d9b3e8b5-238b-4b5f-8c25-c55a4c86a049,Praga-Po³udnie,NotSafe,TRANSFER_TO_INTERVENTION,4,"3346,9581513304242",0
10503,856fe753-9e3d-48eb-a947-668983fa4116,Bielany,NotSafe,PATROLLING,2,"1702,4144742706678",0
10503,856fe753-9e3d-48eb-a947-668983fa4116,Bielany,NotSafe,PATROLLING,3,"2613,7383498673153",0
10536,856fe753-9e3d-48eb-a947-668983fa4116,Bielany,NotSafe,PATROLLING,3,"3142,1430879968802",0
10563,856fe753-9e3d-48eb-a947-668983fa4116,Bielany,NotSafe,PATROLLING,3,"3547,9156879022566",0
11784,61420867-34d4-44ce-955d-64c81939ba2b,W³ochy,NotSafe,TRANSFER_TO_INTERVENTION,4,"3587,2268659144297",0
12950,34686f7d-0530-4772-bd66-8cb2a30c8981,W³ochy,NotSafe,PATROLLING,2,"1767,2481476653252",0
12978,34686f7d-0530-4772-bd66-8cb2a30c8981,W³ochy,NotSafe,PATROLLING,3,"3457,3652050854275",0
13832,90f066ee-5634-4d47-a50a-9c8c6696d792,Weso³a,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3377,0937229269766",0
14245,61420867-34d4-44ce-955d-64c81939ba2b,W³ochy,NotSafe,TRANSFER_TO_INTERVENTION,4,"3299,6469415106567",0
14600,61420867-34d4-44ce-955d-64c81939ba2b,W³ochy,NotSafe,PATROLLING,3,"3538,7120935781973",0
15846,61420867-34d4-44ce-955d-64c81939ba2b,W³ochy,NotSafe,PATROLLING,3,"3517,5363623236244",0
15954,ef94a413-6785-441a-b050-1bbea895b3a3,W³ochy,NotSafe,PATROLLING,3,"3373,0208980098273",0
15980,ef94a413-6785-441a-b050-1bbea895b3a3,W³ochy,NotSafe,TRANSFER_TO_INTERVENTION,4,"3246,567629050443",0
16062,90f066ee-5634-4d47-a50a-9c8c6696d792,Weso³a,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3365,199435955238",0
17208,7174cf45-93bc-4cc8-9bc3-99c2fafb82dc,Ursynów,Safe,PATROLLING,3,"3549,8909495003336",0
17748,4e087fb1-5c32-46da-a04e-6c27efb5d3d4,Wilanów,RatherSafe,PATROLLING,3,"3458,6861734687413",0
18098,19d4203f-3f52-43cd-be1d-71aa5138b96e,W³ochy,NotSafe,TRANSFER_TO_INTERVENTION,4,"1475,4160629121334",0
18471,40c5f3d5-19f9-449e-8756-a88c8b39ebb6,Praga-Pó³noc,Safe,PATROLLING,2,"2113,4485530551497",0
18472,40c5f3d5-19f9-449e-8756-a88c8b39ebb6,Praga-Pó³noc,Safe,PATROLLING,2,"1890,9136569959219",0
21099,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,PATROLLING,2,"1983,8410765393583",0
21100,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,PATROLLING,3,"3595,057619788529",0
21101,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,PATROLLING,3,"3300,725671916675",0
21155,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,PATROLLING,3,"3318,159484873319",0
21213,03849e99-48ae-4556-8f83-fb820280cc6c,Mokotów,NotSafe,PATROLLING,3,"3450,316301203404",0
21408,705b0450-e857-4429-bf0a-cc2b3d1b69ed,Wawer,RatherSafe,PATROLLING,3,"3555,0159902402406",0
23656,09414215-06fe-4f2c-9707-8c30a9598cf5,Targówek,NotSafe,PATROLLING,3,"3582,7313509753567",0
23657,09414215-06fe-4f2c-9707-8c30a9598cf5,Targówek,NotSafe,PATROLLING,3,"3174,8954998930635",0
23746,09414215-06fe-4f2c-9707-8c30a9598cf5,Targówek,NotSafe,PATROLLING,1,"887,0102858121493",0
23747,09414215-06fe-4f2c-9707-8c30a9598cf5,Targówek,NotSafe,TRANSFER_TO_INTERVENTION,4,"3468,1389048031465",0
23852,4dba3725-edc7-45fb-8fa2-c674c139d0df,Bielany,NotSafe,TRANSFER_TO_INTERVENTION,4,"1529,122779835143",0
23882,4dba3725-edc7-45fb-8fa2-c674c139d0df,Bielany,NotSafe,PATROLLING,2,"1713,3877543052265",0
23883,4dba3725-edc7-45fb-8fa2-c674c139d0df,Bielany,NotSafe,PATROLLING,3,"3421,7260106555127",0
24788,4dba3725-edc7-45fb-8fa2-c674c139d0df,Bielany,NotSafe,TRANSFER_TO_INTERVENTION,4,"3364,7323573054905",0
25807,2d318249-07d7-4000-9b2c-7902baa1b077,Praga-Po³udnie,NotSafe,TRANSFER_TO_INTERVENTION,4,"3285,860241043303",0
25839,2d318249-07d7-4000-9b2c-7902baa1b077,Praga-Po³udnie,NotSafe,TRANSFER_TO_INTERVENTION,4,"3522,9537221315964",0
26069,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,TRANSFER_TO_INTERVENTION,4,"3039,187887086585",0
26071,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,TRANSFER_TO_INTERVENTION,4,"2685,3214392461086",0
26286,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,PATROLLING,2,"1909,4081033625966",0
26395,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,TRANSFER_TO_INTERVENTION,4,"2792,695366188219",0
27120,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,PATROLLING,2,"1751,117833355258",0
27148,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,PATROLLING,3,"3360,976288148908",0
27149,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,PATROLLING,3,"3518,676586582531",0
27231,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,PATROLLING,3,"3544,4370732435646",0
27257,36b28b86-9c9e-47b0-8bf5-dbeea0b37b58,W³ochy,NotSafe,PATROLLING,3,"3253,298340467623",0
27497,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,PATROLLING,3,"3567,4326049588412",0
27497,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,PATROLLING,3,"3512,0945391985806",0
27607,c83c5cfc-0306-42d9-bc9b-017d73485b68,Bielany,NotSafe,PATROLLING,3,"3551,2969536024466",0
27805,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,PATROLLING,2,"1220,4079721843345",0
28043,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,PATROLLING,3,"3583,0705835898884",0
28352,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,PATROLLING,3,"2995,795860096748",0
28353,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,PATROLLING,3,"2995,795860096748",0
28354,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,PATROLLING,3,"2995,795860096748",0
28355,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,PATROLLING,3,"2995,795860096748",0
28356,e8f2fe03-0fb8-480b-8bcc-fce1836bef72,Targówek,NotSafe,PATROLLING,3,"2995,795860096748",0
29062,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,PATROLLING,2,"1926,1974271519425",0
29692,ac9737d3-e410-4680-9e1c-71d259e1bbe4,Wilanów,RatherSafe,PATROLLING,1,"317,450756564738",0
29693,ac9737d3-e410-4680-9e1c-71d259e1bbe4,Wilanów,RatherSafe,PATROLLING,1,"312,12812353712076",0
29808,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,PATROLLING,3,"3450,6030894602777",0
29809,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,PATROLLING,3,"3542,5979822436025",0
29810,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,PATROLLING,3,"3451,0755638038745",0
29810,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,PATROLLING,3,"3570,6227802565636",0
29812,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,PATROLLING,3,"3583,3598732750343",0
29813,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,PATROLLING,3,"3456,7898887238966",0
29815,db8cfb48-10a8-4848-bf98-d2afaa0dd0c4,Targówek,NotSafe,PATROLLING,3,"3493,83515260831",0
30305,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,PATROLLING,1,"822,0030786819314",0
30306,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,PATROLLING,1,"1013,7260061904672",0
30349,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,PATROLLING,2,"2346,907942277043",0
30380,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,PATROLLING,3,"3567,6106368126834",0
30381,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,PATROLLING,3,"3021,997670693056",0
30382,95863e57-01af-4dce-8f77-fe8699c31ecf,¯oliborz,RatherSafe,PATROLLING,3,"3525,9864852596156",0
34919,15995cae-889b-4c11-8489-754357ef18b1,Weso³a,RatherSafe,PATROLLING,3,"2818,577180792705",0
34976,15995cae-889b-4c11-8489-754357ef18b1,Weso³a,RatherSafe,PATROLLING,3,"3371,548694940202",0
37525,6ff93d44-ed67-416e-93d9-6650ad3bc1ea,Wilanów,RatherSafe,PATROLLING,2,"2017,5427611256898",0
37526,6ff93d44-ed67-416e-93d9-6650ad3bc1ea,Wilanów,RatherSafe,PATROLLING,3,"2880,235407811715",0
37643,6ff93d44-ed67-416e-93d9-6650ad3bc1ea,Wilanów,RatherSafe,PATROLLING,3,"3490,4008142663133",0
38440,d5425ba8-e838-4222-bf91-5c572b50e8fb,Targówek,NotSafe,PATROLLING,3,"2629,573210067231",0
38440,d5425ba8-e838-4222-bf91-5c572b50e8fb,Targówek,NotSafe,PATROLLING,3,"2949,949535747941",0
38747,d5425ba8-e838-4222-bf91-5c572b50e8fb,Targówek,NotSafe,PATROLLING,3,"3463,78195314653",0
38833,d5425ba8-e838-4222-bf91-5c572b50e8fb,Targówek,NotSafe,PATROLLING,3,"3598,747761509286",0
39172,5aa193af-ea9e-4a24-b2ff-ef975e686942,Ursus,RatherSafe,PATROLLING,3,"2792,4703588849834",0
40322,62abcad4-a405-41e2-8926-c8d5f66f8e0c,Wawer,RatherSafe,PATROLLING,2,"2314,481960883663",0
40324,62abcad4-a405-41e2-8926-c8d5f66f8e0c,Wawer,RatherSafe,PATROLLING,3,"2920,5863855048938",0
40325,62abcad4-a405-41e2-8926-c8d5f66f8e0c,Wawer,RatherSafe,PATROLLING,3,"2695,460381008725",0
40387,860475b7-ec19-4f96-b482-51adba9de34a,Mokotów,NotSafe,PATROLLING,2,"2324,566186715748",0
40415,860475b7-ec19-4f96-b482-51adba9de34a,Mokotów,NotSafe,PATROLLING,3,"2995,68736217452",0
40415,860475b7-ec19-4f96-b482-51adba9de34a,Mokotów,NotSafe,PATROLLING,3,"3485,784983150838",0
44586,ae6a8899-a336-417b-a8aa-48be258a698f,Ochota,RatherSafe,PATROLLING,2,"1321,6440006045661",0
44588,ae6a8899-a336-417b-a8aa-48be258a698f,Ochota,RatherSafe,PATROLLING,2,"1490,7610431316505",0
44589,ae6a8899-a336-417b-a8aa-48be258a698f,Ochota,RatherSafe,PATROLLING,2,"1716,1589262898988",0
44616,ae6a8899-a336-417b-a8aa-48be258a698f,Ochota,RatherSafe,PATROLLING,2,"2298,8144389932663",0
47917,ceb5378a-85b7-4c0e-b183-d33728721830,Bemowo,RatherSafe,PATROLLING,1,"1017,6168878274492",0
47918,ceb5378a-85b7-4c0e-b183-d33728721830,Bemowo,RatherSafe,PATROLLING,3,"2651,0242119469617",0
47919,ceb5378a-85b7-4c0e-b183-d33728721830,Bemowo,RatherSafe,PATROLLING,3,"3020,5147485204648",0
50337,c283c292-6d80-4ad4-b809-ae88a00e7263,Rembertów,RatherSafe,PATROLLING,3,"3531,5985973757233",0
50338,c283c292-6d80-4ad4-b809-ae88a00e7263,Rembertów,RatherSafe,PATROLLING,3,"3433,339364940333",0
50696,311153eb-a225-4df5-94bb-7ab1d96fd0e5,Praga-Po³udnie,NotSafe,PATROLLING,3,"2645,5258925084026",0
50910,311153eb-a225-4df5-94bb-7ab1d96fd0e5,Praga-Po³udnie,NotSafe,PATROLLING,3,"3452,6481412953262",0
51043,311153eb-a225-4df5-94bb-7ab1d96fd0e5,Praga-Po³udnie,NotSafe,PATROLLING,2,"1727,9154652345",0
51071,311153eb-a225-4df5-94bb-7ab1d96fd0e5,Praga-Po³udnie,NotSafe,PATROLLING,3,"3241,9427992026585",0
52032,696c7e3e-8c0e-484d-a56a-a278b3941f5b,W³ochy,NotSafe,PATROLLING,2,"1440,0053804618663",0
52059,696c7e3e-8c0e-484d-a56a-a278b3941f5b,W³ochy,NotSafe,PATROLLING,3,"3578,6759035753917",0
52060,696c7e3e-8c0e-484d-a56a-a278b3941f5b,W³ochy,NotSafe,PATROLLING,3,"3279,32278173371",0
52061,696c7e3e-8c0e-484d-a56a-a278b3941f5b,W³ochy,NotSafe,PATROLLING,3,"3145,700733390204",0
52870,ff359902-357a-403a-b72a-3a9ba4d9a995,Mokotów,NotSafe,PATROLLING,2,"1207,5430881815773",0
52871,ff359902-357a-403a-b72a-3a9ba4d9a995,Mokotów,NotSafe,PATROLLING,2,"2199,437117693529",0
52904,ff359902-357a-403a-b72a-3a9ba4d9a995,Mokotów,NotSafe,PATROLLING,3,"3517,5979256542914",0
52905,ff359902-357a-403a-b72a-3a9ba4d9a995,Mokotów,NotSafe,PATROLLING,3,"2958,2230466488927",0
52906,ff359902-357a-403a-b72a-3a9ba4d9a995,Mokotów,NotSafe,PATROLLING,3,"2778,8587188873166",0
53393,5feeee39-eb58-457c-a67f-b60c4ab54ef3,Targówek,NotSafe,PATROLLING,3,"3472,405644302095",0
53833,5feeee39-eb58-457c-a67f-b60c4ab54ef3,Targówek,NotSafe,PATROLLING,2,"1500,3255863150735",0
54332,152d66d3-59c3-4515-81e9-008886a670c6,Praga-Po³udnie,NotSafe,PATROLLING,2,"2105,4491273604444",0
54334,152d66d3-59c3-4515-81e9-008886a670c6,Praga-Po³udnie,NotSafe,PATROLLING,3,"2768,6342177772153",0
54334,152d66d3-59c3-4515-81e9-008886a670c6,Praga-Po³udnie,NotSafe,TRANSFER_TO_INTERVENTION,4,"1579,6445787460882",0
56021,42605f43-e0fa-4f49-8ebb-dc146468ef0c,Ochota,RatherSafe,PATROLLING,2,"2362,7349637976286",0
56022,42605f43-e0fa-4f49-8ebb-dc146468ef0c,Ochota,RatherSafe,PATROLLING,2,"1239,8009120529582",0
56083,42605f43-e0fa-4f49-8ebb-dc146468ef0c,Ochota,RatherSafe,PATROLLING,3,"2750,948152073629",0
56084,42605f43-e0fa-4f49-8ebb-dc146468ef0c,Ochota,RatherSafe,PATROLLING,3,"3537,246069654395",0
56085,42605f43-e0fa-4f49-8ebb-dc146468ef0c,Ochota,RatherSafe,PATROLLING,3,"3594,154320847172",0
59016,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,PATROLLING,2,"1212,3173385899804",1
59017,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,PATROLLING,2,"1318,554663390446",1
59018,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,PATROLLING,2,"2063,2183752708047",1
59050,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,PATROLLING,3,"3476,964916026208",1
59051,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,PATROLLING,3,"2941,263264116641",1
59052,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,PATROLLING,3,"3356,808825228635",1
59053,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,PATROLLING,3,"3002,799868686919",1
59055,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,PATROLLING,3,"2573,2619955057635",1
59056,1d30123d-8be6-4cd5-96f3-7b20a5ae8c90,Praga-Po³udnie,NotSafe,PATROLLING,3,"2870,519634803477",1
59455,b088ed83-2d9f-4603-9daf-b53f298ee7a0,Ursynów,Safe,PATROLLING,2,"1796,6242901371254",1
59661,b088ed83-2d9f-4603-9daf-b53f298ee7a0,Ursynów,Safe,PATROLLING,3,"3510,618064887303",1
59759,c3ff1442-f38e-47ba-a003-0115c960aece,Wola,Safe,PATROLLING,2,"2373,3940031695292",1
59760,c3ff1442-f38e-47ba-a003-0115c960aece,Wola,Safe,PATROLLING,2,"1600,8767379863893",1
59761,c3ff1442-f38e-47ba-a003-0115c960aece,Wola,Safe,PATROLLING,2,"2311,4951895787276",1
59993,40851a26-c043-4670-859c-7a72ebbee19e,Bielany,NotSafe,PATROLLING,2,"2229,4919569620806",1
60033,40851a26-c043-4670-859c-7a72ebbee19e,Bielany,NotSafe,PATROLLING,3,"3142,743815911385",1
60828,8ffe0879-2c19-4693-9565-ac6fb9fe7291,Rembertów,RatherSafe,PATROLLING,2,"1791,193757979309",1
60829,8ffe0879-2c19-4693-9565-ac6fb9fe7291,Rembertów,RatherSafe,PATROLLING,3,"2555,8848140680852",1
60830,8ffe0879-2c19-4693-9565-ac6fb9fe7291,Rembertów,RatherSafe,PATROLLING,3,"3530,5726717424127",1
60913,a3b601c0-7245-4624-85a3-eaee6c2fbe24,Mokotów,NotSafe,PATROLLING,2,"2079,6826028385094",1
60964,a3b601c0-7245-4624-85a3-eaee6c2fbe24,Mokotów,NotSafe,PATROLLING,3,"3458,3967495112925",1
61053,a3b601c0-7245-4624-85a3-eaee6c2fbe24,Mokotów,NotSafe,TRANSFER_TO_INTERVENTION,4,"3442,8854389038734",1
61189,a3b601c0-7245-4624-85a3-eaee6c2fbe24,Mokotów,NotSafe,PATROLLING,3,"3485,0418837630996",1
61216,691db194-acc9-40ef-807d-2c4d3a45b096,Bielany,NotSafe,TRANSFER_TO_INTERVENTION,4,"2879,3413621349864",1
61248,8ffe0879-2c19-4693-9565-ac6fb9fe7291,Rembertów,RatherSafe,PATROLLING,3,"3472,0458081414176",1
61469,691db194-acc9-40ef-807d-2c4d3a45b096,Bielany,NotSafe,TRANSFER_TO_INTERVENTION,4,"3438,511605736352",1
61906,a3b601c0-7245-4624-85a3-eaee6c2fbe24,Mokotów,NotSafe,TRANSFER_TO_INTERVENTION,4,"3355,2205568738577",1
62016,691db194-acc9-40ef-807d-2c4d3a45b096,Bielany,NotSafe,TRANSFER_TO_INTERVENTION,4,"3413,0875071256787",1
62164,903e80bb-e7a0-4206-9453-77b7c8b2858e,Bielany,NotSafe,TRANSFER_TO_INTERVENTION,4,"3473,4771197836762",1
62165,fbf4b12a-4073-499b-b275-2ab026f81894,Praga-Po³udnie,NotSafe,PATROLLING,3,"2698,6216122275973",1
62195,fbf4b12a-4073-499b-b275-2ab026f81894,Praga-Po³udnie,NotSafe,PATROLLING,3,"3568,8282997254846",1
62225,fbf4b12a-4073-499b-b275-2ab026f81894,Praga-Po³udnie,NotSafe,PATROLLING,3,"3505,2963221559507",1
62454,908ac3c1-5f5b-44f3-bdae-90ec8059a4d9,Targówek,NotSafe,PATROLLING,3,"2664,2731396406166",1
62505,fbf4b12a-4073-499b-b275-2ab026f81894,Praga-Po³udnie,NotSafe,TRANSFER_TO_INTERVENTION,4,"3484,314487208725",1
62506,908ac3c1-5f5b-44f3-bdae-90ec8059a4d9,Targówek,NotSafe,PATROLLING,2,"1955,320547346383",1
62724,908ac3c1-5f5b-44f3-bdae-90ec8059a4d9,Targówek,NotSafe,TRANSFER_TO_INTERVENTION,4,"3596,629519876882",1
62832,903e80bb-e7a0-4206-9453-77b7c8b2858e,Bielany,NotSafe,PATROLLING,1,"341,24108436377577",1
63039,69e2b785-c138-4b57-b972-b9316bfff162,Œródmieœcie,Safe,PATROLLING,3,"2997,689389000357",1
63125,69e2b785-c138-4b57-b972-b9316bfff162,Œródmieœcie,Safe,PATROLLING,3,"3476,4457806977885",1
64310,c90bad2b-a68f-4dad-b58d-b66d40451c1c,Praga-Po³udnie,NotSafe,PATROLLING,1,"770,867836388194",1
