"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3606,0.0,0.0
7200,8301.317351714448,373.5592808271502
10802,8298.669846119394,373.44014307537276
14402,9378.692895563907,422.04118030037586
18011,6119.639108656974,275.3837598895638
21602,6941.460212565624,312.365709565453
25200,7757.763354210055,349.0993509394525
28800,8229.562973429893,370.3303338043452
32400,9039.012585218295,406.7555663348233
36001,9902.433497332944,445.6095073799826
39601,12666.704586103362,570.0017063746513
43200,10771.883480076327,484.7347566034347
46800,8821.433210541625,396.9644944743731
50402,6033.196391914966,271.49383763617345
54001,9755.780244619997,439.01011100789987
57601,9794.356459314628,440.7460406691583
61200,8131.647375241938,365.92413188588716
64800,8146.882136030764,366.6096961213844
68401,6978.546426840124,314.0345892078056
72000,10836.87263964182,487.659268783882
75601,10243.503012626781,460.9576355682052
79200,9687.544057430432,435.93948258436944
82800,9845.918511960997,443.06633303824475
