"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3603,30.0,619.0,20.633333333333333,0.0,0.0,0.0
7200,23.0,474.0,20.608695652173914,3.0,197.0,65.66666666666667
10801,34.0,736.0,21.647058823529413,10.0,677.0,67.7
14402,31.0,644.0,20.774193548387096,5.0,352.0,70.4
18002,34.0,693.0,20.38235294117647,2.0,139.0,69.5
21600,37.0,702.0,18.972972972972972,4.0,253.0,63.25
25201,38.0,789.0,20.763157894736842,3.0,208.0,69.33333333333333
28801,37.0,767.0,20.72972972972973,3.0,187.0,62.333333333333336
32400,35.0,730.0,20.857142857142858,1.0,51.0,51.0
36000,29.0,595.0,20.517241379310345,5.0,345.0,69.0
39601,35.0,758.0,21.65714285714286,2.0,141.0,70.5
43201,28.0,611.0,21.821428571428573,4.0,315.0,78.75
46800,36.0,729.0,20.25,4.0,288.0,72.0
50402,36.0,747.0,20.75,2.0,111.0,55.5
54001,32.0,632.0,19.75,2.0,137.0,68.5
57600,40.0,829.0,20.725,4.0,237.0,59.25
61200,40.0,760.0,19.0,6.0,386.0,64.33333333333333
64802,51.0,1043.0,20.45098039215686,8.0,573.0,71.625
68400,40.0,830.0,20.75,5.0,315.0,63.0
72000,35.0,737.0,21.057142857142857,10.0,645.0,64.5
75600,38.0,765.0,20.13157894736842,10.0,689.0,68.9
79204,42.0,850.0,20.238095238095237,10.0,677.0,67.7
82800,36.0,754.0,20.944444444444443,3.0,199.0,66.33333333333333
