"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3600,143.53333333333333,0.0
7200,115.21739130434783,203.33333333333334
10801,269.5882352941176,416.7
14402,168.29032258064515,438.4
18010,108.97058823529412,509.0
21601,109.75675675675676,267.75
25200,106.71052631578948,130.33333333333334
28800,98.86486486486487,397.3333333333333
32400,93.25714285714285,44.0
36000,74.58620689655173,457.4
39600,99.37142857142857,208.5
43201,142.5,267.25
46800,195.41666666666666,688.5
50402,179.91666666666666,135.5
54001,109.1875,405.5
57600,142.8,140.0
61200,194.725,229.33333333333334
64802,143.52941176470588,284.5
68400,195.275,185.8
72000,165.6,311.2
75601,238.73684210526315,339.6
79205,238.14285714285714,323.7
82800,181.5,415.6666666666667
