"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3601,0.0,0.0
7200,1548.0,40.333333333333336
10801,2070.0,56.2
14402,3845.8,101.7
18010,4668.0,136.5
21601,5203.75,146.625
25200,563.6666666666666,13.666666666666666
28800,563.6666666666666,13.666666666666666
32400,0.0,0.0
36000,401.7,10.7
39600,0.0,0.0
43201,75.875,1.875
46800,83.5,2.375
50402,597.5,15.75
54001,987.0,28.0
57601,5729.75,166.75
61201,377.0,10.166666666666666
64800,247.8125,8.0625
68401,460.0,14.9
72000,525.45,14.9
75601,487.9,14.9
79200,264.2,7.0
82800,0.0,0.0
