"simulationTime[s]","districtName","districtSafetyLevel","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfReturningToHqPatrols","amountOfIncidents","isNight"
3607,Alsergrund,NotSafe,2,1,0,0,0,1,0,0,1,0
3607,Hietzing,Safe,1,1,0,0,0,0,0,0,0,0
3607,Innere Stadt,RatherSafe,0,0,0,0,0,0,0,0,0,0
3607,Josefstadt,NotSafe,3,0,0,1,0,2,0,0,2,0
3607,Leopoldstadt,Safe,1,0,0,0,0,1,0,0,1,0
3607,Mariahilf,RatherSafe,1,0,1,0,0,0,0,0,0,0
3607,Meidling,RatherSafe,2,1,0,1,0,0,0,0,1,0
3607,Neubau,RatherSafe,3,0,1,0,0,2,0,0,2,0
3607,Penzing,NotSafe,3,2,1,0,0,0,0,0,0,0
3607,Rudolfsheim-Fünfhaus,Safe,1,0,1,0,0,0,0,0,0,0
3607,Währing,RatherSafe,0,0,0,0,0,0,0,0,1,0
3607,Landstraße,Safe,1,0,0,0,0,1,0,0,1,0
3607,Brigittenau,NotSafe,2,1,0,0,0,1,0,0,1,0
3607,Donaustadt,RatherSafe,5,5,0,0,0,0,0,0,0,0
3607,Döbling,RatherSafe,2,0,1,0,0,1,0,0,1,0
3607,Favoriten,Safe,0,0,0,0,0,0,0,0,1,0
3607,Floridsdorf,NotSafe,5,1,1,0,0,3,0,0,4,0
3607,Hernals,RatherSafe,1,0,0,1,0,0,0,0,0,0
3607,Liesing,RatherSafe,0,0,0,0,0,0,0,0,0,0
3607,Margareten,RatherSafe,2,2,0,0,0,0,0,0,0,0
3607,Ottakring,RatherSafe,3,0,0,0,0,3,0,0,3,0
3607,Simmering,RatherSafe,0,0,0,0,0,0,0,0,0,0
3607,Wieden,RatherSafe,2,0,0,1,0,1,0,0,2,0
7200,Alsergrund,NotSafe,7,0,0,0,0,1,6,0,2,0
7200,Hietzing,Safe,4,3,1,0,0,0,0,0,0,0
