"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"8,30,24,0,0,0,0"
"35,23,29,12,11,0,0"
"13,34,20,35,32,0,0"
"23,31,30,19,12,0,0"
"37,34,38,9,11,0,0"
"25,37,34,14,9,0,0"
"37,37,37,7,11,0,0"
"30,38,37,12,11,0,0"
"32,35,35,1,1,39,0"
"30,29,29,24,16,1,0"
"35,35,36,3,5,13,0"
"24,28,28,14,14,6,0"
"29,36,29,24,22,1,0"
"28,36,38,2,2,1,0"
"34,32,34,7,7,0,0"
"37,40,38,7,6,0,0"
"33,40,42,16,16,34,0"
"35,50,45,21,19,6,0"
"35,41,37,11,10,0,0"
"31,35,39,26,24,0,0"
"22,37,27,28,28,2,1"
"26,42,35,31,27,4,0"
"30,37,34,19,19,1,0"
