"simulationTime","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfNeutralizedPatrols","amountOfReturningToHqPatrols","amountOfIncidents","amountOfInterventions","amountOfInterventionsBeingSolved","amountOfFirings","amountOfFiringBeingSolved","isNight"
3607,40,15,5,4,0,16,0,0,0,21,21,21,0,0,0
7200,40,17,2,0,0,7,14,0,0,10,7,7,3,3,0
10802,60,3,4,7,0,5,41,0,0,25,15,15,10,10,0
14403,61,20,8,3,5,8,17,0,0,19,14,14,5,5,0
18010,61,42,9,0,0,7,3,0,0,9,8,8,1,1,0
21600,61,27,6,1,4,12,11,0,0,18,15,15,3,3,0
25200,61,39,1,2,0,9,10,0,0,16,13,12,3,3,0
28801,61,27,0,3,0,13,18,0,0,20,16,16,4,4,0
32400,67,37,4,3,0,16,2,0,5,20,19,19,1,1,0
36000,61,28,1,3,2,10,17,0,0,17,13,13,4,4,0
39600,50,20,2,2,0,10,15,0,1,16,12,12,4,4,0
43203,42,12,2,0,0,11,17,0,0,16,12,12,4,4,0
46800,45,4,1,6,0,8,26,0,0,18,13,13,5,5,0
50402,47,18,2,3,0,16,8,0,0,23,20,20,3,3,0
54001,47,21,1,2,0,14,9,0,0,18,16,16,2,2,0
57601,47,21,2,4,0,11,9,0,0,18,15,15,3,3,1
61200,65,22,1,2,0,14,26,0,0,23,16,16,7,7,1
64800,59,11,2,3,0,17,26,0,0,32,24,23,8,8,1
68400,60,15,3,7,0,14,21,0,0,30,23,23,7,7,1
72000,60,13,1,0,0,13,33,0,0,24,14,14,10,10,1
75601,67,15,1,2,1,10,36,1,1,27,16,15,11,11,1
79205,64,6,6,1,0,12,39,1,0,30,17,16,13,13,1
82800,63,20,1,2,0,13,27,1,0,23,17,17,6,6,1
