"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
739,fb93346b-ae84-4d94-9229-54e29b117c3f,Josefstadt,NotSafe,"2901,922631769544"
748,cbad6f77-8d42-4e64-a791-a283de798f0b,Mariahilf,RatherSafe,"3626,297101284972"
833,526e9b47-8b74-4963-891c-c4eae72e405a,Margareten,RatherSafe,"4626,510426897742"
865,3c59cc34-ead7-4e7b-9c59-a68c549f0725,Währing,RatherSafe,"2790,4644580664576"
867,a59da77e-44d4-44fe-b465-8d54a017ac89,Rudolfsheim-Fünfhaus,Safe,"2002,9167292726843"
1861,d4f2a06d-08ac-46d9-8694-44d157bfb0e2,Meidling,RatherSafe,"2348,7167891668178"
1912,53c9fdc0-c06f-4dd4-894a-7d66163b5634,Rudolfsheim-Fünfhaus,Safe,"1189,862471602018"
1917,685f50c4-57a9-4f7c-aef6-d1898fa6510d,Penzing,NotSafe,"1064,6172077511883"
1919,7433db91-9874-4e97-96d3-358f75e86c53,Neubau,RatherSafe,"798,1083346136555"
2047,bbea6a4d-141d-4151-b8ad-96ff6d8d7e40,Neubau,RatherSafe,"1144,7168144769219"
2051,33c81ecc-679f-4606-af79-79be6c8518c5,Ottakring,RatherSafe,"162,24086973569763"
2052,e21c6240-d6f0-4b97-ba26-463e706fa68d,Brigittenau,NotSafe,"3809,558701606827"
2054,7355368a-ad72-490e-976a-bd8e8c82f9ed,Wieden,RatherSafe,"2109,777121368805"
2055,a2cb38aa-eafc-418c-bcd0-f147107a45e3,Ottakring,RatherSafe,"1007,1202339641678"
2127,5b8540be-f91c-417b-a65c-4dada274094a,Ottakring,RatherSafe,"2259,075169294816"
2452,458368a4-99ad-47bd-9c95-01d0c86a5751,Floridsdorf,NotSafe,"3209,030112596377"
2529,f1cd0bac-ca40-4c7b-bf69-4205775d1138,Josefstadt,NotSafe,"930,4661211890518"
2534,e41ed317-6e13-4a38-bcb5-58ea1455ed21,Neubau,RatherSafe,"1517,7317645056569"
2535,aed4b6f6-3a61-401a-a987-eff741602c25,Döbling,RatherSafe,"1608,4830346686008"
2612,f1115d76-4b3b-48d2-a3df-624a408195a3,Floridsdorf,NotSafe,"2394,9255605445283"
2876,595c78cb-168a-4987-bfee-75504ea51bcf,Leopoldstadt,Safe,"2080,636384135734"
2929,6a4b9d18-be40-4d76-b988-e7be3770b758,Floridsdorf,NotSafe,"811,6469893448823"
3134,e942ccf4-6801-437a-8d22-f72c9eba100d,Alsergrund,NotSafe,"3217,5115416895583"
3138,f8f477d4-8106-449e-9937-d7480df40840,Josefstadt,NotSafe,"4494,180406876736"
3185,0acfa758-b5da-47c8-b940-519a8d2039bd,Wieden,RatherSafe,"4255,08767527818"
3200,b5f20659-d461-4f30-a874-6717aa9cadb4,Währing,RatherSafe,"5169,143166629964"
3202,dfd319b3-0015-485d-b253-f725ba6cd009,Landstraße,Safe,"2547,52533716008"
3459,f44866c7-9983-4728-a13b-a94fd73e6ab5,Meidling,RatherSafe,"904,4249756407369"
3460,3f72a1aa-dd35-476b-a84b-00c0f2411328,Favoriten,Safe,"4137,310436506104"
3490,d4cb87ab-bfd1-4d3a-9284-dfec999c62ea,Floridsdorf,NotSafe,"2916,4697360488167"
4096,38d44a78-4a09-4b02-b202-4b6563ac5fdf,Alsergrund,NotSafe,"434,19184707670024"
4097,9fb1b262-88f2-406e-bf34-b9da9ad03a94,Margareten,RatherSafe,"1122,8247640588097"
4185,68183de8-0a63-46b1-b3b0-302ba4c0bfd6,Ottakring,RatherSafe,"893,9535249345522"
4252,1e7487fb-99b7-4fcb-99fd-4ca0fe6789eb,Innere Stadt,RatherSafe,"1407,942403222834"
4291,dcaae880-c2eb-4e8a-b2cc-9623e260706a,Penzing,NotSafe,"9579,638750932641"
4684,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,"116,4730485326169"
4685,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,"504,26837357385267"
4687,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,"1064,3949828143568"
