"simulationTime[s]","patrolState","timeInState[s]"
1771,PATROLLING,1687.0
1854,TRANSFER_TO_INTERVENTION,83.0
3679,INTERVENTION,1825.0
3741,CALCULATING_PATH,62.0
4218,PATROLLING,477.0
4290,CALCULATING_PATH,72.0
5146,PATROLLING,856.0
5207,CALCULATING_PATH,61.0
5522,TRANSFER_TO_INTERVENTION,315.0
6368,INTERVENTION,846.0
6395,CALCULATING_PATH,27.0
6486,PATROLLING,91.0
6514,CALCULATING_PATH,28.0
6686,TRANSFER_TO_INTERVENTION,172.0
8179,INTERVENTION,1493.0
12159,FIRING,3980.0
12199,PATROLLING,40.0
12226,CALCULATING_PATH,27.0
12582,PATROLLING,356.0
12641,CALCULATING_PATH,59.0
13227,PATROLLING,586.0
13258,CALCULATING_PATH,31.0
13441,TRANSFER_TO_INTERVENTION,183.0
15110,INTERVENTION,1669.0
15140,CALCULATING_PATH,30.0
15246,PATROLLING,106.0
15312,CALCULATING_PATH,66.0
15417,TRANSFER_TO_INTERVENTION,105.0
16401,INTERVENTION,984.0
16456,CALCULATING_PATH,55.0
16963,PATROLLING,507.0
17050,CALCULATING_PATH,87.0
17452,PATROLLING,402.0
17506,CALCULATING_PATH,54.0
18332,PATROLLING,826.0
18363,CALCULATING_PATH,31.0
18741,PATROLLING,378.0
18777,CALCULATING_PATH,36.0
18839,PATROLLING,62.0
18910,CALCULATING_PATH,71.0
19033,TRANSFER_TO_INTERVENTION,123.0
20269,INTERVENTION,1236.0
20334,CALCULATING_PATH,65.0
20464,PATROLLING,130.0
20500,CALCULATING_PATH,36.0
20677,TRANSFER_TO_INTERVENTION,177.0
22100,INTERVENTION,1423.0
22144,CALCULATING_PATH,44.0
22472,PATROLLING,328.0
22499,CALCULATING_PATH,27.0
22653,PATROLLING,154.0
22711,CALCULATING_PATH,58.0
23276,PATROLLING,565.0
23344,CALCULATING_PATH,68.0
23440,TRANSFER_TO_INTERVENTION,96.0
24688,INTERVENTION,1248.0
24716,CALCULATING_PATH,27.0
25108,PATROLLING,392.0
25168,CALCULATING_PATH,60.0
25535,PATROLLING,367.0
