"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
4693,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,6,1,3,3,"1685,1364049208264",0
4738,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,6,1,6,3,"5420,981346435394",0
6807,3f2875cf-a486-41e6-9d6c-468e4b13901e,Neubau,RatherSafe,4,1,2,2,"1472,7017271768814",0
6835,3f2875cf-a486-41e6-9d6c-468e4b13901e,Neubau,RatherSafe,4,1,3,1,"1594,3692152157926",0
6868,39eef65b-1445-406e-8fe0-e0fb4e337f32,Meidling,RatherSafe,4,1,1,1,"753,5460545242782",0
6871,39eef65b-1445-406e-8fe0-e0fb4e337f32,Meidling,RatherSafe,4,1,3,2,"2769,6826402540637",0
7428,bf4bef22-1994-49d5-a3ab-5a3014d3914d,Alsergrund,NotSafe,6,1,2,2,"3728,3495662543146",0
7433,bf4bef22-1994-49d5-a3ab-5a3014d3914d,Alsergrund,NotSafe,6,1,5,3,"9036,029330495283",0
7722,21806033-a1cd-41f5-a4ea-5eb4bd905dc6,Neubau,RatherSafe,4,1,2,2,"4094,8540735879606",0
7727,21806033-a1cd-41f5-a4ea-5eb4bd905dc6,Neubau,RatherSafe,4,1,4,2,"4456,715867805668",0
8147,d213ffb7-a10b-4f15-8fc8-6f026b4062c0,Penzing,NotSafe,2,1,2,2,"6128,8303384500105",0
8299,e10053cb-d733-449b-95be-93e878c4a27a,Währing,RatherSafe,4,1,1,1,"633,9551142439899",0
8302,e10053cb-d733-449b-95be-93e878c4a27a,Währing,RatherSafe,4,1,2,1,"2985,6459422961634",0
8362,e10053cb-d733-449b-95be-93e878c4a27a,Währing,RatherSafe,4,1,5,3,"8289,055093373197",0
8872,ba6ab37a-fab6-468b-a6df-0c9fe474c508,Leopoldstadt,Safe,4,1,1,1,"3565,41308526993",0
9046,277b2023-507e-44bf-9f3f-ecf916a92702,Brigittenau,NotSafe,4,1,1,1,"2282,7487298617825",0
9047,277b2023-507e-44bf-9f3f-ecf916a92702,Brigittenau,NotSafe,4,1,2,1,"2864,495671292324",0
9130,277b2023-507e-44bf-9f3f-ecf916a92702,Brigittenau,NotSafe,4,1,3,1,"3346,6928737898934",0
9161,ba6ab37a-fab6-468b-a6df-0c9fe474c508,Leopoldstadt,Safe,4,2,1,1,"3546,2982783433145",0
9364,ba6ab37a-fab6-468b-a6df-0c9fe474c508,Leopoldstadt,Safe,4,2,2,1,"3146,583560120865",0
