"simulationTime[s]","firingID","districtName","districtSafetyLevel","revokedPatrols","isNight"
4933,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,1,0
7927,21806033-a1cd-41f5-a4ea-5eb4bd905dc6,Neubau,RatherSafe,1,0
8387,d213ffb7-a10b-4f15-8fc8-6f026b4062c0,Penzing,NotSafe,1,0
10104,d65d4bc8-a557-46b6-ad27-5398b0097405,Penzing,NotSafe,1,0
14520,dd8300da-26cc-4823-9dee-32d97c1d652a,Josefstadt,NotSafe,3,0
14834,fd70cc22-9743-4b2a-a4e0-f09acc4fb305,Simmering,RatherSafe,1,0
17306,01d0c939-f049-4a69-9f33-c8c17c123d44,Ottakring,RatherSafe,1,0
18447,5c632099-2d2c-4595-bc36-cccae22109db,Donaustadt,RatherSafe,1,0
26482,b76afce4-0052-4495-af4e-8c3a7a15859c,Ottakring,RatherSafe,1,0
34262,8e8ecb3e-f298-4527-9be8-63666aa0e05b,Ottakring,RatherSafe,2,0
35668,05dd77cc-d4c1-4e09-8714-a998f08d5375,Josefstadt,NotSafe,1,0
35757,9f91598a-ecad-41da-adfc-4512c1957aa7,Alsergrund,NotSafe,3,0
44330,c2d58212-792f-4270-b5ed-fe43cbc06d15,Brigittenau,NotSafe,1,0
44884,43b630cc-a253-462b-b5bd-43b35e5583de,Josefstadt,NotSafe,1,0
57149,f23d5dfb-4818-4607-8768-c5d40b99fca4,Josefstadt,NotSafe,1,0
63499,65b2965c-8fd7-4cf8-8fec-23a6bc32609b,Brigittenau,NotSafe,1,1
63557,968b42ee-c535-4f11-b4d9-2f3fbf89c18a,Simmering,RatherSafe,1,1
67678,d5fca53e-f7d6-40fd-a554-aabdac91e81c,Neubau,RatherSafe,1,1
69627,b2443700-41e8-43c5-b0ca-1ab3d99bdabb,Währing,RatherSafe,1,1
75880,9e20b9c2-e123-4a0b-afc1-68777bb5440f,Mariahilf,RatherSafe,3,1
77269,e6489690-b8df-4e08-a881-39eae1d64a26,Ottakring,RatherSafe,2,1
83429,4d1d11df-3dcf-44b2-b6c7-72ecf50f27c7,Josefstadt,NotSafe,4,1
85900,1ca2ff38-88cb-4d19-8e99-83d60dbe1db1,Alsergrund,NotSafe,3,1
