"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
4683,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,PATROLLING,1,"116,4730485326169",0
4685,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,PATROLLING,1,"504,26837357385267",0
4687,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,PATROLLING,1,"1064,3949828143568",0
4735,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,PATROLLING,2,"1990,5033234195753",0
4736,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,PATROLLING,2,"1959,8987813027525",0
4737,838d1e37-3946-43ab-bc0b-9ac35e026130,Alsergrund,NotSafe,PATROLLING,2,"1470,5792417130665",0
6803,3f2875cf-a486-41e6-9d6c-468e4b13901e,Neubau,RatherSafe,PATROLLING,1,"652,3360413420627",0
6806,3f2875cf-a486-41e6-9d6c-468e4b13901e,Neubau,RatherSafe,PATROLLING,1,"820,3656858348187",0
6834,3f2875cf-a486-41e6-9d6c-468e4b13901e,Neubau,RatherSafe,PATROLLING,2,"1594,3692152157926",0
6867,39eef65b-1445-406e-8fe0-e0fb4e337f32,Meidling,RatherSafe,PATROLLING,1,"753,5460545242782",0
6869,39eef65b-1445-406e-8fe0-e0fb4e337f32,Meidling,RatherSafe,PATROLLING,2,"1541,6795890292244",0
6871,39eef65b-1445-406e-8fe0-e0fb4e337f32,Meidling,RatherSafe,PATROLLING,2,"1228,003051224839",0
7426,bf4bef22-1994-49d5-a3ab-5a3014d3914d,Alsergrund,NotSafe,PATROLLING,2,"1681,8917008330013",0
7428,bf4bef22-1994-49d5-a3ab-5a3014d3914d,Alsergrund,NotSafe,PATROLLING,2,"2046,457865421313",0
7429,bf4bef22-1994-49d5-a3ab-5a3014d3914d,Alsergrund,NotSafe,PATROLLING,3,"3254,9657156278304",0
